accession_8k,ticker,filed_8k,period_of_report,fye_month,fy_xbrl,q_xbrl,fy_math,q_math,agreement,matched_accession_periodic,periodic_created,form_type_periodic,reason
0001817358-24-000170,ASO,2024-09-10T08:16:04-04:00,2024-08-03,1,2024,Q2,2025,Q2,false,0001817358-24-000174,2024-09-10T16:25:48-04:00,10-Q,xbrl_math_disagree
0001817358-24-000194,ASO,2024-12-10T08:03:25-05:00,2024-11-02,1,2024,Q3,2025,Q3,false,0001817358-24-000197,2024-12-10T16:06:36-05:00,10-Q,xbrl_math_disagree
0001817358-25-000022,ASO,2025-03-20T08:03:28-04:00,2025-02-01,1,2024,Q4,2025,Q4,false,0001817358-25-000027,2025-03-20T16:10:19-04:00,10-K,xbrl_math_disagree
0001817358-25-000116,ASO,2025-06-10T08:03:28-04:00,2025-05-03,1,2025,Q1,2026,Q1,false,0001817358-25-000119,2025-06-10T16:02:13-04:00,10-Q,xbrl_math_disagree
0001817358-25-000154,ASO,2025-09-02T08:02:36-04:00,2025-08-02,1,2025,Q2,2026,Q2,false,0001817358-25-000158,2025-09-02T16:06:16-04:00,10-Q,xbrl_math_disagree
0001817358-25-000189,ASO,2025-12-09T08:03:54-05:00,2025-11-01,1,2025,Q3,2026,Q3,false,0001817358-25-000191,2025-12-09T16:11:29-05:00,10-Q,xbrl_math_disagree
0001817358-26-000026,ASO,2026-03-17T08:02:01-04:00,2026-01-31,1,2025,Q4,2026,Q4,false,0001817358-26-000031,2026-03-17T16:02:44-04:00,10-K,xbrl_math_disagree
0001193125-24-082055,ATO,2024-03-29T16:06:04-04:00,,9,,,,,,,,,not_same_event_periodic
0001600620-25-000108,AUPH,2025-11-04T08:00:47-05:00,,12,,,,,,,,,not_same_event_periodic
0001558370-23-015455,AVAV,2023-09-05T16:13:12-04:00,2023-07-29,4,2023,Q1,2024,Q1,false,0001558370-23-015470,2023-09-05T18:17:11-04:00,10-Q,xbrl_math_disagree
0001558370-23-019476,AVAV,2023-12-05T16:12:03-05:00,2023-10-28,4,2023,Q2,2024,Q2,false,0001558370-23-019483,2023-12-05T18:20:21-05:00,10-Q,xbrl_math_disagree
0001558370-24-002363,AVAV,2024-03-04T17:19:49-05:00,2024-01-27,4,2023,Q3,2024,Q3,false,0001558370-24-002395,2024-03-04T21:14:50-05:00,10-Q,xbrl_math_disagree
0001410636-23-000021,AWK,2023-02-15T16:35:23-05:00,,12,,,,,,,,,not_same_event_periodic
0001410636-23-000065,AWK,2023-04-26T16:34:46-04:00,,12,,,,,,,,,not_same_event_periodic
