ticker,accession,formType,filedAt,in_secapi,in_edgar,in_neo4j,gap_type
SHAK,0001620533-24-000016,NT 10-K,2024-02-26,YES,NO,NO,PIPELINE_LOST
SHOO,0001493152-24-008482,NT 10-K,2024-03-01,YES,NO,NO,PIPELINE_LOST
SLB,0001193125-26-147610,8-K,2026-04-08,YES,NO,NO,PIPELINE_LOST
SMCI,0001375365-24-000031,NT 10-K,2024-08-30,YES,NO,NO,PIPELINE_LOST
SMCI,0001375365-25-000002,NT 10-Q,2025-02-11,YES,NO,NO,PIPELINE_LOST
SMCI,0001375365-24-000039,NT 10-Q,2024-11-12,YES,NO,NO,PIPELINE_LOST
SMG,0000825542-26-000017,8-K,2026-04-09,YES,NO,NO,PIPELINE_LOST
SMPL,0001702744-26-000010,8-K,2026-04-09,YES,NO,NO,PIPELINE_LOST
SMPL,0001702744-26-000012,10-Q,2026-04-09,YES,NO,NO,PIPELINE_LOST
SMTC,0000088941-23-000018,NT 10-Q,2023-09-06,YES,NO,NO,PIPELINE_LOST
STAA,0000718937-26-000009,8-K,2026-04-08,YES,NO,NO,PIPELINE_LOST
SYK,0001193125-26-149607,8-K/A,2026-04-09,YES,NO,NO,PIPELINE_LOST
SYK,0001193125-26-149607,8-K/A,2026-04-09,YES,NO,NO,PIPELINE_LOST
TOL,0000794170-26-000056,10-Q,2026-02-27,YES,YES,NO,PIPELINE_LOST
TPG,0001880661-26-000019,8-K,2026-04-09,YES,NO,NO,PIPELINE_LOST
TRMB,0000864749-25-000029,NT 10-K,2025-03-05,YES,NO,NO,PIPELINE_LOST
TRMB,0000864749-24-000254,NT 10-Q,2024-11-07,YES,NO,NO,PIPELINE_LOST
TRMB,0000864749-24-000199,NT 10-Q,2024-08-07,YES,NO,NO,PIPELINE_LOST
TRMB,0000864749-24-000130,NT 10-Q,2024-05-08,YES,NO,NO,PIPELINE_LOST
VIR,0001193125-26-151209,8-K,2026-04-10,YES,NO,NO,PIPELINE_LOST
VNO,0000899689-26-000021,8-K,2026-04-08,YES,NO,NO,PIPELINE_LOST
VNOM,0001104659-26-023479,8-K,2026-03-04,YES,NO,NO,PIPELINE_LOST
VNOM,0001104659-26-022427,8-K,2026-03-02,YES,NO,NO,PIPELINE_LOST
VNOM,0002074176-26-000005,8-K,2026-02-23,YES,NO,NO,PIPELINE_LOST
VNOM,0001104659-26-017566,8-K,2026-02-19,YES,NO,NO,PIPELINE_LOST
VNOM,0001104659-25-125257,8-K,2025-12-30,YES,NO,NO,PIPELINE_LOST
VNOM,0001104659-25-120446,8-K,2025-12-12,YES,NO,NO,PIPELINE_LOST
VNOM,0002074176-25-000048,8-K,2025-11-03,YES,NO,NO,PIPELINE_LOST
VNOM,0001193125-25-187727,8-K/A,2025-08-25,YES,NO,NO,PIPELINE_LOST
VNOM,0002074176-26-000010,10-K,2026-02-25,YES,NO,NO,PIPELINE_LOST
VNOM,0002074176-25-000053,10-Q,2025-11-05,YES,NO,NO,PIPELINE_LOST
VNOM,0001193125-25-187727,8-K/A,2025-08-25,YES,NO,NO,PIPELINE_LOST
VOYA,0001535929-26-000058,8-K,2026-04-08,YES,NO,NO,PIPELINE_LOST
WDC,0000106040-24-000011,NT 10-Q,2024-02-08,YES,NO,NO,PIPELINE_LOST
X,0001163302-25-000034,8-K,2025-05-09,YES,YES,NO,PIPELINE_LOST
X,0001163302-25-000028,8-K,2025-05-01,YES,YES,NO,PIPELINE_LOST
X,0001163302-25-000030,10-Q,2025-05-02,YES,YES,NO,PIPELINE_LOST
XRX,0001193125-26-085664,NT 10-K,2026-03-02,YES,NO,NO,PIPELINE_LOST
ZI,0001794515-23-000136,8-K,2023-07-31,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000045,10-K,2025-02-25,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000138,8-K,2025-06-09,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000025,8-K,2025-02-19,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000091,8-K,2023-05-19,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000028,8-K,2024-02-21,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000034,10-K,2023-02-16,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000114,8-K,2024-06-12,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000010,8-K,2023-02-01,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000041,8-K,2024-02-26,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000165,8-K,2025-08-04,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000020,8-K,2023-02-06,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000163,8-K/A,2024-09-11,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000035,8-K,2024-02-23,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000016,10-K,2024-02-15,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000185,10-Q,2024-11-12,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000167,10-Q,2025-08-04,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000078,8-K,2024-05-17,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000079,8-K,2023-05-01,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000055,8-K,2023-03-14,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000080,10-Q,2023-05-01,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000100,10-Q,2025-05-12,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000182,8-K,2025-11-03,NO,YES,NO,SOURCE_GAP
